id	url	category	polarity	authority	asserted_at	assertion_source	recovery_basis	source_artifact_sha256	source_row
real-world-20260825-000076	http://problemsilike.com/	reading	positive	human_assertion	2026-08-25T16:46:28Z	conversation-user-message@2026-08-25T16:46:28Z	context-index-explicit-user-constraint	4c71746f994ef02959cef9baf9787a74c60e6fe51309d096e6398d56bef0c850	76
real-world-20260825-000076	http://problemsilike.com/	intellectual-fun-short-reading	positive	human_assertion	2026-08-25T16:49:44Z	conversation-user-message@2026-08-25T16:49:44Z	context-index-explicit-user-constraint	4c71746f994ef02959cef9baf9787a74c60e6fe51309d096e6398d56bef0c850	76
real-world-20260825-000083	https://www.opensyllabus.org/	black-ball	positive	human_assertion	2026-08-25T16:46:28Z	conversation-user-message@2026-08-25T16:46:28Z	context-index-explicit-user-constraint	4c71746f994ef02959cef9baf9787a74c60e6fe51309d096e6398d56bef0c850	83
real-world-20260825-000089	https://x.com/bennpeifert/status/2004518534471422095	reading	positive	human_assertion	2026-08-25T16:49:44Z	conversation-user-message@2026-08-25T16:49:44Z	context-index-explicit-user-constraint	4c71746f994ef02959cef9baf9787a74c60e6fe51309d096e6398d56bef0c850	89
real-world-20260825-000089	https://x.com/bennpeifert/status/2004518534471422095	long-form-reading-self-education	positive	human_assertion	2026-08-25T16:49:44Z	conversation-user-message@2026-08-25T16:49:44Z	context-index-explicit-user-constraint	4c71746f994ef02959cef9baf9787a74c60e6fe51309d096e6398d56bef0c850	89
real-world-20260825-000102	https://www.thedecentonefilm.com/	reading	positive	human_assertion	2026-08-25T16:49:44Z	conversation-user-message@2026-08-25T16:49:44Z	context-index-explicit-user-constraint	4c71746f994ef02959cef9baf9787a74c60e6fe51309d096e6398d56bef0c850	102
real-world-20260825-000102	https://www.thedecentonefilm.com/	morbid-curiosity	positive	human_assertion	2026-08-25T16:49:44Z	conversation-user-message@2026-08-25T16:49:44Z	context-index-explicit-user-constraint	4c71746f994ef02959cef9baf9787a74c60e6fe51309d096e6398d56bef0c850	102
real-world-20260825-000136	https://crux.jp/	shopping	positive	human_assertion	2026-08-25T19:23:52Z	conversation-user-message@2026-08-25T19:23:52Z	verbatim-user-correction	4c71746f994ef02959cef9baf9787a74c60e6fe51309d096e6398d56bef0c850	136
real-world-20260825-000185	https://promotion.haaretz.com/offers	reading	positive	human_assertion	2026-08-25T16:46:28Z	conversation-user-message@2026-08-25T16:46:28Z	context-index-explicit-user-constraint	4c71746f994ef02959cef9baf9787a74c60e6fe51309d096e6398d56bef0c850	185
real-world-20260825-000185	https://promotion.haaretz.com/offers	news-reading	positive	human_assertion	2026-08-25T16:46:28Z	conversation-user-message@2026-08-25T16:46:28Z	context-index-explicit-user-constraint	4c71746f994ef02959cef9baf9787a74c60e6fe51309d096e6398d56bef0c850	185
real-world-20260825-000197	https://www.rezchikov.me/jacobian_counterexample_visualization.html	reading	positive	human_assertion	2026-08-25T16:46:28Z	conversation-user-message@2026-08-25T16:46:28Z	context-index-explicit-user-constraint	4c71746f994ef02959cef9baf9787a74c60e6fe51309d096e6398d56bef0c850	197
real-world-20260825-000197	https://www.rezchikov.me/jacobian_counterexample_visualization.html	intellectual-fun-short-reading	positive	human_assertion	2026-08-25T16:49:44Z	conversation-user-message@2026-08-25T16:49:44Z	context-index-explicit-user-constraint	4c71746f994ef02959cef9baf9787a74c60e6fe51309d096e6398d56bef0c850	197
interactive-98-abebooks-checkout	https://www.abebooks.com/checkout/basket	reading	positive	human_assertion	2026-08-25T16:46:28Z	conversation-user-message@2026-08-25T16:46:28Z	context-index-explicit-user-constraint	unavailable	unavailable
